id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16705542,Gypsy Waggon - A villa on wheels,3040748,Henk,,Noord-Oost,52.39527,4.99237,Private room,88.0,2,99,2024-08-20,1.1,9,170,6,0363 2A6D 7C09 877D 715F
17365362,Your nice waggon at the cows paradise,3040748,Henk,,Noord-Oost,52.40635,4.99133,Private room,87.0,2,26,2023-05-11,0.29,9,0,0,0363 8FA8 4049 3B81 71EE
17470838,Central location private room all facillities,1232843,Harm,,De Baarsjes - Oud-West,52.36464,4.87741,Private room,93.0,2,526,2024-08-26,5.75,1,204,71,0363 58CE D9BB F6FF B6CE
17566665,"Amsterdam, IJburg - bnb kamer met eigen voordeur",116572131,Michelle,,IJburg - Zeeburgereiland,52.361,4.98202,Private room,91.0,2,312,2024-08-11,3.44,1,44,41,0363 BAA8 F80E 87BC 366B
17647511,Lovely apartement near the city center,16274382,Gina,,Oud-Oost,52.35645,4.90875,Entire home/apt,100.0,2,14,2024-08-24,0.15,2,2,3,0363 CC25 6BEF CFE8 2A0F
17960148,Cosy room in a cosy house,123279093,Bakoly,,Geuzenveld - Slotermeer,52.38389,4.8352,Private room,85.0,2,26,2022-07-03,0.29,1,317,0,0363 2F14 1443 7E65 B8A6
18172462,Beautiful studio on river front,125350952,Chantal,,IJburg - Zeeburgereiland,52.37556,4.96829,Private room,94.0,3,206,2024-08-19,2.3,1,46,41,0363 EDC3 9F66 FEDD 4F6C
18367573,It's not what you think!,66590032,Margret,,De Baarsjes - Oud-West,52.36646,4.87718,Private room,73.0,3,81,2024-03-27,0.97,1,19,2,0363 5302 A999 27BC 0FA6
18622506,Private All-in Penthouse room,126555379,Richard,,Zuid,52.35109,4.84938,Entire home/apt,100.0,1,486,2024-08-17,5.46,2,166,78,0363 F1AC 3488 A85D 3362
18681903,Room A'dam City and Beach/Private Bathroom,129858996,Heidi,,IJburg - Zeeburgereiland,52.3532,5.00861,Private room,98.0,2,40,2023-10-08,0.45,1,2,3,0363 A553 8BE8 BDDE BF99
18871870,"Cozy room Amsterdam, Ensuitebathroom/Netflix/Bikes",130649752,Mi BnB,,Geuzenveld - Slotermeer,52.3828,4.82627,Private room,80.0,3,168,2024-08-15,1.94,2,257,12,0363 ECE2 5C63 874D B72E
18906944,Saint Claire 3,44168250,Holiday,,Centrum-West,52.37013,4.89299,Private room,69.0,2,43,2024-03-18,0.51,4,338,5,0363 B61F 718E F2FD B734
19184032,Delightful Stay in museum district (#1 eco badge),2986709,Sézane,,Zuid,52.3554758086581,4.879930267390117,Private room,92.0,1,321,2024-08-05,3.73,3,337,48,0363 7C88 6FCC CBFD 195E
19278681,Charming canal view room near to centre!,16798348,Keeva,,De Baarsjes - Oud-West,52.36448,4.85621,Private room,84.0,2,387,2024-09-01,4.48,2,58,86,0636F39002E5E028CD5D
19300302,Lovely bright double bedroom by terrace,16798348,Keeva,,De Baarsjes - Oud-West,52.36413,4.85514,Private room,96.0,2,331,2024-09-01,3.83,2,65,85,0363F39002E5E028CD5D
19689332,Private Room. Garden Apartment. Old West Amsterdam,76572471,Glendon,,De Baarsjes - Oud-West,52.3737,4.85394,Private room,69.0,3,338,2024-08-18,3.93,2,21,61,03630A67E566D0FAAE65
20231350,Clean & Cosy Private Room in IJburg,144152068,Henry,,IJburg - Zeeburgereiland,52.35631,4.99875,Private room,90.0,2,81,2024-08-04,0.94,1,6,12,0363 17F1 CB9F B0FF 4DC9
20516768,Cosy single room with a view,146477767,Maria,,De Pijp - Rivierenbuurt,52.35447,4.89479,Private room,78.0,3,302,2024-08-25,3.57,1,83,41,0363EE8A0F3476887E6D
20792976,Large private kingsize bedroom close 2 city center,25069604,Francois,,Gaasperdam - Driemond,52.29132,4.96829,Private room,86.0,3,169,2024-08-29,1.99,2,176,41,036360680DE4459C26B8
20793220,Cosy private 2-beds bedroom close to city center!,25069604,Francois,,Gaasperdam - Driemond,52.29307,4.96851,Private room,80.0,3,191,2024-09-01,2.26,2,115,46,036360680DE4459C26B8
21024509,Amsterdam Central in 10 min - nearby metro,151414609,M,,Bijlmer-Centrum,52.32539,4.94657,Private room,92.0,2,416,2024-08-25,4.93,2,329,91,0363 2901 D451 46F4 163B
21327054,Big room,4978942,Beca,,De Baarsjes - Oud-West,52.36631,4.85752,Private room,82.0,1,423,2024-08-22,5.05,2,317,71,0363 8D34 88C2 7D97 3EA4
21481614,Appartement in Amsterdam Zuid,68802409,Huib,,Zuid,52.34412,4.86191,Entire home/apt,100.0,2,2,2024-08-24,1.02,1,166,2,0363 7F96 19B4 0231 A171
21964609,STAY WITH THE BOYS,102684968,Pim,,Gaasperdam - Driemond,52.30688,4.983,Private room,95.0,2,62,2024-08-19,0.75,1,34,8,0363C671801BA3C41F7C
21978969,Kamer in Amsterdam west,160470419,Joshua,,Bos en Lommer,52.37787,4.85125,Private room,74.0,2,487,2024-09-02,6.01,2,28,73,0363 843D 3DB9 4ADE 2109
21979569,Kamer in Amsterdam met balkon,160470419,Joshua,,Bos en Lommer,52.37837,4.85157,Private room,88.0,2,482,2024-09-02,5.97,2,29,62,0363 843D 3DB9 4ADE 2109
22097674,Comfortable private room in shared apartment,34336976,Emil,,Bos en Lommer,52.37839,4.85146,Private room,76.0,2,365,2024-08-25,4.61,1,77,65,0363 3F61 04A2 2C78 4CC5
22913973,"Private Room in family house, central Amsterdam",169642846,Frans,,Centrum-Oost,52.37191,4.90042,Private room,74.0,2,224,2024-08-20,2.8,1,6,42,0363 41AA 8CBA FD93 09EA
23020332,Semi Private floor (50 m2/538ft2) in Amsterdam,6756868,Barbara,,Noord-Oost,52.38801,4.95684,Private room,72.0,2,237,2024-08-26,3.07,1,316,53,0363 A91D 676B 2670 DA53
23332938,David's boat Amsterdam,173784342,David,,Centrum-Oost,52.37109,4.929013,Private room,72.0,2,475,2024-08-30,5.98,2,0,81,0363 F66A 0020 7F81 56FF
23363442,David's boat Amsterdam,173784342,David,,Centrum-Oost,52.37109,4.929013,Private room,71.0,2,454,2024-09-05,5.7,2,4,85,0363 F66A 0020 7F81 56FF
23509547,"Big room, tram 15 min to City Centre and Airport",20647485,Margot,,De Aker - Nieuw Sloten,52.34915,4.78785,Private room,85.0,3,56,2024-08-04,0.71,2,145,33,03639561AD3B7F43BDFF
23777372,Room Nicole: (not for parties),176320082,Lucio,,Centrum-Oost,52.36288,4.88487,Private room,74.0,1,554,2024-09-01,7.08,6,343,104,Exempt
